TripA_num,주행 요약
2014.7.1,대체적으로 연비가 좋지 못했습니다.
2014.7.2,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.3,대체적으로 연비가 좋지 못했습니다.
2014.7.4,대체적으로 연비가 좋지 못했습니다.
2014.7.5,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.6,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.7,대체적으로 연비가 좋지 못했습니다.
2014.7.8,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.9,좋은 연비로 운전 하셨습니다.
2014.7.10,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.11,연비가 좋지 못했습니다.
2014.7.12,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.13,좋은 연비로 운전 하셨습니다.
2014.7.14,연비가 좋지 못했습니다.
2014.7.15,좋은 연비로 운전 하셨습니다.
2014.7.16,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.17,대체적으로 연비가 좋지 못했습니다.
2014.7.18,대체적으로 연비가 좋지 못했습니다.
2014.7.19,좋은 연비로 운전 하셨습니다.
2014.7.20,대체적으로 연비가 좋지 못했습니다.
2014.7.21,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.22,연비가 좋지 못했습니다.
2014.7.23,대체적으로 연비가 좋지 못했습니다.
2014.7.24,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.25,대체적으로 연비가 좋지 못했습니다.
2014.7.26,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.27,대체적으로 좋은 연비로 운전 하셨습니다.
2014.7.28,좋은 연비로 운전 하셨습니다.
2014.7.29,좋은 연비로 운전 하셨습니다.
2014.7.30,좋은 연비로 운전 하셨습니다.
2014.7.31,대체적으로 연비가 좋지 못했습니다.
